iid,gender,age,race,field,income,from,tot_rounds,round_num,pid,age_partner,race_partner,same_race,request,request_partner,match,like,prob_yes,like_partner,prob_yes_partner,attractive,sincere,intelligence,fun,ambitious,shared_interests,attractive_partner,sincere_partner,intelligence_partner,fun_partner,ambitious_partner,shared_interests_partner,attractive_self,sincere_self,intelligence_self,fun_self,ambitious_self,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,sports_num,tvsports_num,exercise_num,dining_num,museums_num,art_num,hiking_num,gaming_num,clubbing_num,reading_num,tv_num,theater_num,movies_num,concerts_num,music_num,shopping_num,yoga_num
1,f,21,AsianOrAsianAmericanOrPacificIslander,Law,"69,487.00",Illinois,10,1,11,27,WhiteOrCaucasianAmerican,n,y,n,n,7,6,7,4,6,9,7,7,6,5,6,8,8,8,8,6,6,8,8,8,7,high,moderate,high,high,low,low,moderate,low,moderate,low,high,low,high,high,high,high,low,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
1,f,21,AsianOrAsianAmericanOrPacificIslander,Law,"69,487.00",Illinois,10,2,12,22,WhiteOrCaucasianAmerican,n,y,n,n,7,5,8,4,7,8,7,8,5,6,7,8,10,7,7,5,6,8,8,8,7,high,moderate,high,high,low,low,moderate,low,moderate,low,high,low,high,high,high,high,low,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
1,f,21,AsianOrAsianAmericanOrPacificIslander,Law,"69,487.00",Illinois,10,3,13,22,AsianOrAsianAmericanOrPacificIslander,y,y,y,y,7,,10,10,5,8,9,8,5,7,10,10,10,10,10,10,6,8,8,8,7,high,moderate,high,high,low,low,moderate,low,moderate,low,high,low,high,high,high,high,low,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
1,f,21,AsianOrAsianAmericanOrPacificIslander,Law,"69,487.00",Illinois,10,4,14,23,WhiteOrCaucasianAmerican,n,y,y,y,7,6,7,7,7,6,8,7,6,8,7,8,9,8,9,8,6,8,8,8,7,high,moderate,high,high,low,low,moderate,low,moderate,low,high,low,high,high,high,high,low,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
1,f,21,AsianOrAsianAmericanOrPacificIslander,Law,"69,487.00",Illinois,10,5,15,24,LatinoOrHispanicAmerican,n,y,y,y,6,6,8,6,5,6,7,7,6,6,8,7,9,6,9,7,6,8,8,8,7,high,moderate,high,high,low,low,moderate,low,moderate,low,high,low,high,high,high,high,low,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
1,f,21,AsianOrAsianAmericanOrPacificIslander,Law,"69,487.00",Illinois,10,6,16,25,WhiteOrCaucasianAmerican,n,n,y,n,6,5,7,6,4,9,7,4,6,4,7,7,8,8,7,7,6,8,8,8,7,high,moderate,high,high,low,low,moderate,low,moderate,low,high,low,high,high,high,high,low,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
1,f,21,AsianOrAsianAmericanOrPacificIslander,Law,"69,487.00",Illinois,10,7,17,30,WhiteOrCaucasianAmerican,n,y,n,n,6,5,2,1,7,6,7,4,6,7,3,6,7,5,8,7,6,8,8,8,7,high,moderate,high,high,low,low,moderate,low,moderate,low,high,low,high,high,high,high,low,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
1,f,21,AsianOrAsianAmericanOrPacificIslander,Law,"69,487.00",Illinois,10,8,18,27,WhiteOrCaucasianAmerican,n,n,n,n,6,7,7,5,4,9,7,6,5,6,6,7,5,6,8,6,6,8,8,8,7,high,moderate,high,high,low,low,moderate,low,moderate,low,high,low,high,high,high,high,low,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
1,f,21,AsianOrAsianAmericanOrPacificIslander,Law,"69,487.00",Illinois,10,9,19,28,WhiteOrCaucasianAmerican,n,y,y,y,7,7,6.5,8,7,6,8,9,8,8,7,7,8,8,8,9,6,8,8,8,7,high,moderate,high,high,low,low,moderate,low,moderate,low,high,low,high,high,high,high,low,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
1,f,21,AsianOrAsianAmericanOrPacificIslander,Law,"69,487.00",Illinois,10,10,20,24,WhiteOrCaucasianAmerican,n,y,n,n,6,6,6,6,5,6,6,8,10,8,6,6,6,6,6,6,6,8,8,8,7,high,moderate,high,high,low,low,moderate,low,moderate,low,high,low,high,high,high,high,low,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
